FT	ID	AT	WT	ST
4	2	1	0	3
4	1	0	0	4
6	7	4	0	2
7	5	4	0	3
8	3	3	0	5
9	12	7	0	2
9	11	6	0	3
9	9	5	0	4
9	8	4	0	5
9	4	4	0	5
9	6	4	0	5
10	14	8	0	2
10	13	7	0	3
11	10	5	0	6
15	15	9	0	6
17	16	11	0	6
19	21	17	0	2
19	18	16	0	3
19	20	16	0	3
20	17	14	0	6
21	23	18	0	3
22	27	21	0	1
22	26	20	0	2
22	24	19	0	3
22	22	17	0	5
22	19	16	0	6
23	28	22	0	1
24	25	20	0	4
25	29	22	0	3
25	32	22	0	3
26	35	25	0	1
28	33	23	0	5
29	30	22	0	7
30	34	24	0	6
31	31	22	0	9
Orders: 35	[Norm:19, Veg:2, VIP:14]
Cooks: 13	[Norm:8, Veg:1, Vip:4, injured:10]
Avg Wait = 0, Avg Serv = 3.91429
Urgent orders: 0, Auto-promoted: 0%
